9999,24,112,108,3,1,151,150,146,142,144,140,191,185,54,55,72,38,48,93,95,3006,3007,3010,3013,3014,3015,3016
0,0.173,0.412,0.232,0.132,0.135,0.288,0.610,0.633,0.856,0.704,0.327,0.746,0.021,0.217,0.243,0.346,0.339,0.571,0.139,0.095,0.477,0.395,0.928,0.504,0.533,0.479,0.333
1,0.198,0.375,0.266,0.162,0.153,0.356,0.767,0.658,0.745,0.672,0.311,0.756,0.024,0.207,0.298,0.406,0.324,0.576,0.127,0.111,0.563,0.463,0.897,0.438,0.443,0.430,0.304
2,0.207,0.365,0.277,0.152,0.161,0.344,0.720,0.618,0.725,0.630,0.292,0.793,0.023,0.194,0.280,0.414,0.304,0.604,0.123,0.113,0.549,0.438,0.879,0.430,0.435,0.407,0.287
3,0.212,0.404,0.285,0.147,0.165,0.353,0.660,0.581,0.744,0.612,0.284,0.882,0.022,0.189,0.270,0.424,0.295,0.672,0.136,0.116,0.558,0.418,0.893,0.471,0.463,0.397,0.277
4,0.206,0.392,0.277,0.148,0.160,0.343,0.683,0.640,0.778,0.674,0.312,0.790,0.023,0.208,0.272,0.412,0.325,0.602,0.132,0.113,0.546,0.424,0.942,0.461,0.466,0.434,0.307
5,0.188,0.453,0.253,0.129,0.146,0.310,0.579,0.540,0.712,0.601,0.271,0.923,0.019,0.181,0.237,0.372,0.282,0.741,0.153,0.102,0.493,0.370,0.844,0.533,0.524,0.439,0.269
6,0.186,0.427,0.250,0.142,0.145,0.310,0.657,0.628,0.849,0.699,0.324,0.802,0.022,0.216,0.261,0.372,0.337,0.611,0.144,0.102,0.497,0.411,0.966,0.506,0.512,0.460,0.320
7,0.167,0.476,0.225,0.126,0.130,0.276,0.583,0.579,0.782,0.644,0.298,0.822,0.019,0.199,0.232,0.331,0.310,0.660,0.161,0.091,0.444,0.367,0.862,0.567,0.558,0.467,0.296
8,0.177,0.453,0.238,0.135,0.138,0.295,0.626,0.621,0.839,0.691,0.320,0.782,0.021,0.213,0.249,0.355,0.333,0.628,0.153,0.097,0.471,0.389,0.916,0.534,0.525,0.452,0.315
9,0.172,0.411,0.232,0.140,0.134,0.287,0.608,0.690,0.933,0.767,0.356,0.743,0.023,0.237,0.258,0.345,0.370,0.569,0.139,0.095,0.456,0.402,0.888,0.482,0.557,0.501,0.349
10,0.153,0.419,0.206,0.130,0.119,0.258,0.556,0.642,0.898,0.714,0.331,0.710,0.021,0.220,0.240,0.306,0.344,0.570,0.144,0.084,0.413,0.377,0.795,0.497,0.622,0.521,0.327
11,0.144,0.417,0.193,0.128,0.112,0.254,0.548,0.666,0.820,0.789,0.349,0.706,0.022,0.232,0.236,0.290,0.363,0.567,0.144,0.079,0.404,0.369,0.721,0.491,0.625,0.575,0.352
12,0.157,0.375,0.211,0.143,0.122,0.283,0.609,0.704,0.893,0.817,0.363,0.678,0.023,0.241,0.263,0.322,0.377,0.519,0.128,0.088,0.446,0.408,0.806,0.438,0.569,0.552,0.354
13,0.178,0.352,0.240,0.162,0.135,0.321,0.691,0.713,0.836,0.793,0.368,0.707,0.025,0.244,0.298,0.365,0.382,0.539,0.119,0.100,0.512,0.467,0.849,0.415,0.509,0.512,0.362
14,0.197,0.353,0.265,0.161,0.141,0.354,0.763,0.680,0.756,0.716,0.332,0.709,0.024,0.221,0.296,0.403,0.345,0.540,0.119,0.111,0.565,0.465,0.852,0.417,0.461,0.463,0.327
15,0.221,0.327,0.297,0.168,0.146,0.377,0.797,0.684,0.669,0.634,0.321,0.687,0.025,0.213,0.310,0.453,0.306,0.523,0.111,0.124,0.604,0.487,0.793,0.388,0.409,0.411,0.291
16,0.181,0.314,0.243,0.191,0.121,0.357,0.770,0.722,0.695,0.659,0.339,0.630,0.029,0.225,0.352,0.374,0.323,0.480,0.106,0.103,0.576,0.557,0.764,0.373,0.427,0.434,0.309
17,0.201,0.320,0.270,0.183,0.133,0.402,0.867,0.669,0.654,0.620,0.313,0.645,0.027,0.208,0.337,0.421,0.299,0.492,0.108,0.116,0.648,0.533,0.779,0.381,0.402,0.404,0.286
18,0.221,0.337,0.297,0.173,0.146,0.381,0.821,0.704,0.689,0.653,0.330,0.687,0.026,0.220,0.319,0.453,0.315,0.523,0.114,0.124,0.601,0.494,0.804,0.393,0.415,0.417,0.295
19,0.244,0.266,0.364,0.141,0.161,0.402,0.578,0.496,0.506,0.460,0.232,0.582,0.021,0.155,0.259,0.585,0.222,0.443,0.090,0.160,0.784,0.422,0.638,0.326,0.321,0.308,0.218
20,0.253,0.315,0.340,0.157,0.167,0.378,0.683,0.586,0.598,0.543,0.275,0.688,0.023,0.183,0.289,0.519,0.262,0.524,0.106,0.142,0.664,0.448,0.719,0.368,0.361,0.347,0.246
