9999,120,121,127,29,126,124,128,22,21,20,24,23,110,111,114,16,113,19,116,18,115,118,117,119,11,10,13,15,100,101,109,107,106,104,103,102,6,4,3,8,7,1,137,135,136,134,133,132,131,130,191,192,196,193,194,199,197,188,189,185,59,54,55,52,53,68,69,63,64,65,66,71,70,200,72,32,36,35,39,40,42,45,46,47,48,49,51,50,99,98,97,96,76,75,79,78,80,1007,1006,84,81,82,1003,1002,1005,1004,1001,1000,88,89,90,92,93,94,95,3006,3007,3010,3013,3014,3015,3016
0,1.490,2.486,1.536,7.610,7.307,2.403,2.764,1.888,9.847,7.653,11.545,3.792,5.695,3.525,3.011,3.069,6.382,8.008,1.638,3.335,3.433,2.418,2.051,1.688,3.173,9.468,2.760,4.254,13.586,15.428,7.880,8.834,8.461,4.830,7.210,12.830,5.981,25.531,13.328,4.266,13.816,13.194,10.527,7.923,7.023,4.525,4.135,4.257,5.451,4.820,1.931,8.658,7.237,13.280,8.438,8.228,3.501,24.688,15.008,25.505,5.209,10.044,9.313,4.934,7.029,3.946,7.489,3.614,4.205,5.505,4.065,6.575,8.050,1.753,6.979,0.896,4.096,4.947,2.647,4.038,2.669,1.611,5.342,1.597,3.688,3.590,4.799,2.471,10.337,4.168,6.718,25.143,1.047,8.892,4.499,6.367,8.057,8.100,5.098,3.323,8.134,3.016,25.194,28.041,4.180,3.560,22.876,4.829,3.004,6.750,2.018,11.982,12.967,10.285,15.493,4.871,6.119,0.491,4.505,4.141,4.840,7.228
1,1.876,0.980,2.159,8.153,7.618,0.897,3.386,2.511,8.455,6.511,10.647,4.414,6.609,3.837,3.323,2.026,4.991,8.551,2.295,2.292,2.425,1.494,2.199,1.599,3.116,8.077,1.254,3.246,12.238,14.386,6.838,7.791,7.070,3.482,5.862,11.482,4.938,24.557,11.980,2.874,12.425,12.339,10.839,8.340,6.671,5.184,5.049,5.170,6.074,5.734,1.842,8.969,5.846,11.932,8.854,8.540,2.492,23.546,13.965,24.531,5.868,10.356,7.965,5.245,5.986,4.257,7.801,2.108,5.119,6.164,4.724,5.533,8.467,2.501,5.936,1.519,4.755,3.556,1.723,2.995,3.583,0.894,5.177,1.474,3.632,4.212,5.458,1.547,8.988,4.565,5.327,25.765,1.961,7.500,3.108,6.989,7.014,8.412,4.257,2.280,8.446,2.959,25.817,28.664,4.802,2.054,21.528,3.481,3.316,5.359,0.512,12.641,13.590,10.908,14.450,3.775,5.067,0.719,5.424,5.351,5.553,7.835
2,2.296,1.400,2.338,8.573,8.038,1.317,3.566,2.690,8.676,6.931,10.374,4.594,6.789,4.257,3.742,1.899,5.212,8.971,2.715,2.164,2.845,1.914,1.883,1.283,2.801,8.298,1.674,3.666,12.658,14.258,6.710,7.663,7.291,3.901,6.281,11.902,4.810,24.976,12.400,3.095,12.646,12.023,11.259,8.759,7.091,5.604,5.228,5.350,6.253,5.913,1.526,9.389,6.067,12.352,9.274,8.959,2.912,23.966,13.838,24.951,6.287,10.776,8.385,5.665,5.858,4.677,8.220,2.528,5.298,6.584,5.144,5.405,8.887,2.846,5.808,1.698,5.174,3.777,2.143,2.868,3.762,1.314,4.861,1.894,3.316,4.392,5.878,1.966,9.408,4.249,5.548,25.945,2.140,7.721,3.329,7.169,6.887,8.832,4.677,2.152,8.865,2.644,25.996,28.843,4.982,2.474,21.948,3.901,3.735,5.580,0.932,13.061,13.769,11.087,14.322,3.945,5.434,0.846,5.551,5.478,5.920,8.203
3,2.417,1.975,1.671,8.537,8.226,1.892,2.899,2.024,8.512,7.506,10.210,3.927,6.307,4.445,3.931,1.734,5.048,8.935,2.565,2.000,3.325,2.310,1.182,0.582,2.099,8.134,2.249,4.145,12.892,14.093,6.546,7.499,7.126,4.477,6.516,12.136,4.646,25.226,12.634,2.931,12.482,11.859,11.447,8.850,7.487,5.452,4.746,4.868,5.587,5.431,0.824,9.578,5.903,12.586,9.365,9.148,3.392,24.474,13.673,25.201,6.136,10.964,8.619,5.854,5.694,4.866,8.409,3.103,4.816,6.432,4.992,5.241,8.977,2.679,5.644,1.532,5.023,3.612,2.539,2.703,3.280,1.502,4.236,2.082,2.615,3.725,5.726,2.362,9.642,3.548,5.383,25.278,1.974,7.557,3.164,6.502,6.722,9.020,5.073,1.988,9.054,1.942,25.330,28.177,4.315,3.049,22.182,4.476,3.924,5.416,1.507,12.909,13.103,10.421,14.158,3.843,5.732,0.743,4.948,5.059,6.074,8.455
4,1.854,1.747,1.872,8.131,7.596,1.664,3.100,2.225,8.699,6.915,10.397,4.128,6.323,3.815,3.301,1.922,5.235,8.529,2.265,2.187,2.695,1.680,1.906,1.306,2.823,8.321,2.021,3.515,12.847,14.281,6.733,7.686,7.314,4.091,6.471,12.091,4.833,24.960,12.590,3.118,12.669,12.046,10.817,8.318,6.857,5.152,4.763,4.884,5.788,5.447,1.549,8.947,6.090,12.541,8.832,8.518,2.762,23.949,13.860,24.935,5.836,10.334,8.575,5.223,5.881,4.235,7.779,2.875,4.832,6.132,4.693,5.428,8.445,2.380,5.831,1.233,4.723,3.800,1.909,2.891,3.297,0.872,4.884,1.452,3.339,3.926,5.426,1.732,9.598,4.272,5.571,25.479,1.674,7.744,3.352,6.703,6.910,8.390,4.443,2.175,8.424,2.666,25.531,28.377,4.516,2.821,22.137,4.091,3.294,5.603,1.279,12.609,13.303,10.622,14.345,3.984,5.640,0.396,5.101,5.028,5.495,7.778
5,2.706,2.838,0.919,7.928,8.523,2.755,2.147,1.271,9.374,8.026,10.989,3.175,5.554,4.741,4.227,2.597,5.910,8.327,2.485,2.862,3.806,2.791,0.429,0.531,1.453,8.996,3.112,4.627,13.755,14.956,7.408,8.361,7.989,5.202,7.378,12.999,5.508,26.071,13.497,3.794,13.344,12.638,11.743,8.242,7.968,4.844,3.994,4.115,4.834,4.679,0.524,9.874,6.765,13.448,8.756,9.043,3.873,25.060,14.536,26.046,5.527,11.261,9.482,6.150,6.557,5.162,8.037,3.965,4.063,5.824,4.384,6.103,8.369,2.592,6.506,1.104,4.414,4.475,3.020,3.566,2.528,1.983,4.664,2.563,1.968,2.973,5.118,2.844,10.505,2.795,6.246,24.526,2.197,8.419,4.027,5.750,7.585,9.317,5.554,2.850,9.350,1.296,24.577,27.424,3.563,3.912,23.044,5.202,4.220,6.278,2.370,12.301,12.350,9.668,15.020,4.651,6.539,1.116,4.140,4.252,5.411,8.651
6,1.541,2.006,1.296,7.661,7.358,1.923,2.524,1.649,9.367,7.174,11.065,3.552,5.747,3.577,3.063,2.589,5.903,8.060,1.689,2.855,2.954,1.939,1.809,1.208,2.726,8.989,2.280,3.774,13.106,14.949,7.401,8.354,7.982,4.350,6.730,12.351,5.501,25.219,12.849,3.786,13.337,12.714,10.579,7.975,7.074,4.577,4.187,4.308,5.212,4.872,1.451,8.709,6.758,12.800,8.489,8.280,3.021,24.208,14.528,25.194,5.260,10.096,8.834,4.985,6.549,3.998,7.541,3.134,4.256,5.557,4.117,6.096,8.102,1.804,6.499,0.657,4.147,4.468,2.168,3.558,2.721,1.131,4.862,1.649,3.241,3.350,4.851,1.991,9.857,3.929,6.239,24.903,1.098,8.412,4.020,6.127,7.577,8.152,4.702,2.843,8.186,2.569,24.955,27.802,3.940,3.080,22.396,4.350,3.056,6.271,1.538,12.034,12.728,10.046,15.013,4.605,5.853,0.226,4.480,4.407,5.106,7.494
7,2.083,2.788,0.583,7.592,7.900,2.705,1.810,0.935,10.141,7.956,11.756,2.838,5.218,4.119,3.604,3.364,6.677,7.990,2.149,3.629,3.735,2.721,1.098,1.298,2.220,9.763,3.062,4.556,13.888,15.723,8.175,9.128,8.756,5.132,7.512,13.132,6.275,26.001,13.631,4.560,14.111,13.405,11.121,7.906,7.616,4.507,3.658,3.779,4.498,4.342,1.291,9.251,7.532,13.582,8.420,8.707,3.803,24.990,15.302,25.976,5.191,10.638,9.615,5.527,7.323,4.539,7.701,3.916,3.727,5.487,4.048,6.870,8.033,2.256,7.273,0.481,4.078,5.242,2.950,4.333,2.192,1.913,5.431,2.190,2.735,2.636,4.781,2.773,10.639,3.215,7.013,24.190,1.640,9.186,4.794,5.413,8.352,8.694,5.484,3.617,8.728,2.063,24.241,27.088,3.226,3.862,23.178,5.132,3.598,7.045,2.320,11.964,12.014,9.332,15.787,5.346,6.601,0.973,3.732,3.843,5.003,8.001
8,1.618,2.324,0.911,7.739,7.435,2.240,2.139,1.264,9.684,7.491,11.382,3.167,5.546,3.654,3.140,2.907,6.220,8.137,1.767,3.172,3.271,2.256,1.426,1.526,2.548,9.306,2.598,4.092,13.424,15.266,7.718,8.671,8.299,4.667,7.047,12.668,5.818,25.536,13.166,4.104,13.654,13.031,10.656,8.052,7.151,4.654,3.986,4.107,4.827,4.671,1.619,8.786,7.075,13.118,8.567,8.357,3.338,24.526,14.846,25.511,5.337,10.173,9.151,5.063,6.866,4.075,7.618,3.451,4.056,5.634,4.194,6.413,8.179,1.881,6.816,0.272,4.224,4.785,2.485,3.876,2.520,1.449,5.180,1.726,3.063,2.965,4.928,2.309,10.174,3.543,6.556,24.518,1.175,8.729,4.337,5.742,7.895,8.229,5.019,3.160,8.263,2.391,24.570,27.416,3.555,3.398,22.714,4.667,3.133,6.588,1.855,12.111,12.342,9.661,15.330,4.957,6.204,0.577,4.128,4.240,5.217,7.605
